battery_power,blue,clock_speed,dual_sim,fc,four_g,int_memory,m_dep,mobile_wt,n_cores,pc,px_height,px_width,ram,sc_h,sc_w,talk_time,three_g,touch_screen,wifi,price_range
842,no,2.2,no,1,no,7,0.6,188,two,2,20,756,2549,9,7,19,no,no,yes,1
1021,yes,0.5,yes,0,yes,53,0.7,136,three,6,905,1988,2631,17,3,7,yes,yes,no,2
563,yes,0.5,yes,2,yes,41,0.9,145,five,6,1263,1716,2603,11,2,9,yes,yes,no,2
615,yes,2.5,no,0,no,10,0.8,131,six,9,1216,1786,2769,16,8,11,yes,no,no,2
1821,yes,1.2,no,13,yes,44,0.6,141,two,14,1208,1212,1411,8,2,15,yes,yes,no,1
1859,no,0.5,yes,3,no,22,0.7,164,one,7,1004,1654,1067,17,1,10,yes,no,no,1
1821,no,1.7,no,4,yes,10,0.8,139,,10,381,1018,3220,13,8,18,yes,no,yes,3
1954,no,0.5,yes,0,no,24,0.8,187,four,0,512,1149,700,16,3,5,yes,yes,yes,0
1445,yes,0.5,no,0,no,53,0.7,174,seven,14,386,836,1099,17,1,20,yes,no,no,0
509,yes,0.6,yes,2,yes,9,0.1,93,five,15,1137,1224,513,19,10,12,yes,no,no,0
769,yes,2.9,yes,0,no,9,0.1,182,five,1,248,874,3946,5,2,7,no,no,no,3
1520,yes,2.2,no,5,yes,33,0.5,177,,18,151,1005,3826,14,9,13,yes,yes,yes,3
1815,no,2.8,no,2,no,33,0.6,159,four,17,607,748,1482,18,0,2,yes,no,no,1
803,yes,2.1,no,7,no,17,1,198,four,11,344,1440,2680,7,1,4,yes,no,yes,2
1866,no,0.5,no,13,yes,52,0.7,185,one,17,356,563,373,14,9,3,yes,no,yes,0
,no,1,no,3,no,46,0.7,159,two,16,862,1864,568,17,15,11,yes,yes,yes,0
838,no,0.5,no,1,yes,13,0.1,196,,4,984,1850,3554,10,9,19,yes,no,yes,3
595,no,0.9,yes,7,yes,23,0.1,121,three,17,441,810,3752,10,2,18,yes,yes,no,3
1131,yes,0.5,yes,11,no,49,0.6,101,five,18,658,878,1835,19,13,16,yes,yes,no,1
682,yes,0.5,no,4,no,19,1,121,four,11,902,1064,2337,11,1,18,no,yes,yes,1
772,no,1.1,yes,12,no,39,0.8,81,seven,14,1314,1854,2819,17,15,3,yes,yes,,3
1709,yes,2.1,no,1,no,13,1,156,two,2,974,1385,3283,17,1,15,yes,no,no,3
1949,no,2.6,yes,4,no,47,0.3,199,four,7,407,822,1433,11,5,20,no,no,yes,1
1602,yes,2.8,yes,4,yes,38,0.7,114,three,20,466,788,1037,8,7,20,yes,no,no,0
503,no,1.2,yes,5,yes,8,0.4,111,three,13,201,1245,2583,11,0,12,yes,no,no,1
961,yes,1.4,yes,0,yes,57,0.6,114,,3,291,1434,2782,18,9,7,yes,yes,yes,2
519,yes,1.6,yes,7,yes,51,0.3,132,four,19,550,645,3763,16,1,4,yes,no,yes,3
956,no,0.5,no,1,yes,41,1,143,seven,6,511,1075,3286,17,8,12,yes,yes,no,3
1453,no,1.6,yes,12,yes,52,0.3,96,two,18,187,1311,2373,10,1,10,yes,yes,yes,2
851,no,0.5,no,3,no,21,0.4,200,five,7,1171,1263,478,12,7,10,yes,no,yes,0
1579,yes,0.5,yes,0,no,5,0.2,88,seven,9,1358,1739,3532,17,11,12,no,no,yes,3
1568,yes,0.5,no,16,no,33,1,150,,20,413,654,508,5,1,6,yes,yes,yes,0
1319,yes,0.9,no,3,yes,41,0.9,107,one,18,85,1152,2227,18,5,3,yes,yes,yes,1
1310,yes,2.2,yes,0,yes,51,0.6,100,four,0,178,1919,3845,7,0,12,yes,yes,no,3
644,yes,2.7,no,0,no,22,0.7,157,,3,311,881,1262,12,1,15,yes,no,no,0
725,no,1.3,yes,16,no,60,0.4,160,,17,1134,1249,1326,10,4,15,yes,no,no,1
589,yes,2.3,yes,1,no,61,0.6,160,four,10,429,815,2113,13,7,2,yes,no,yes,1
1725,yes,1.6,yes,6,yes,6,0.5,119,two,18,609,1307,3429,6,5,4,yes,yes,no,3
790,no,2,yes,16,yes,11,0.3,87,six,17,347,730,3169,6,1,2,yes,no,yes,2
560,no,0.5,yes,15,no,50,0.3,159,two,20,1448,1613,2150,18,12,11,yes,yes,no,2
1347,no,2.9,no,5,no,44,0.6,132,one,14,434,967,2484,18,2,11,yes,no,yes,2
1646,yes,2.3,no,8,yes,41,0.2,185,two,10,1725,1932,3339,18,10,19,yes,yes,no,3
1253,yes,0.5,yes,5,yes,5,0.2,152,two,19,685,714,1878,15,0,4,yes,yes,no,1
1656,no,1,no,5,yes,34,0.1,166,three,7,880,1456,1629,15,12,14,yes,yes,no,1
1195,yes,2.8,no,1,yes,20,0.8,110,two,14,1580,1652,504,9,3,12,yes,yes,no,0
1514,no,2.9,no,0,no,27,0.2,118,three,1,186,1810,1152,8,3,20,no,yes,yes,1
1723,yes,1.1,yes,1,no,42,1,164,,14,202,1791,3587,10,5,3,yes,no,no,3
1054,yes,1.8,yes,3,yes,40,0.8,196,seven,10,27,774,2296,16,12,12,yes,no,yes,1
578,yes,2.6,yes,2,yes,57,0.2,162,,8,1025,1433,1270,15,3,5,yes,no,yes,0
596,no,2.1,yes,9,no,64,0.8,111,,15,885,1854,3238,16,13,10,no,no,no,3
1547,yes,3,yes,2,yes,14,0.7,198,three,19,1042,1832,2059,5,0,15,yes,no,yes,2
1760,no,1.4,yes,5,no,63,0.8,127,,19,1382,1383,2053,19,12,16,no,yes,no,2
1654,yes,1.5,yes,0,yes,43,0.3,109,two,0,546,629,3112,12,5,10,yes,yes,no,3
1457,no,1.9,yes,1,yes,16,0.3,102,three,10,1013,1287,1440,17,8,12,yes,no,yes,1
1073,yes,0.5,yes,0,no,51,0.5,145,seven,0,690,804,2908,6,0,18,no,yes,no,2
1936,no,2.1,yes,10,yes,46,0.6,104,three,20,667,1036,2552,14,7,13,yes,no,no,2
823,yes,2.7,yes,13,no,60,0.5,148,,19,822,1449,905,14,11,17,yes,yes,yes,0
987,no,1.3,yes,0,yes,61,0.4,107,three,9,581,820,3963,9,4,20,yes,no,yes,3
1757,no,0.5,no,8,no,49,0.5,180,six,14,265,713,2056,7,5,4,no,no,no,1
1063,no,1.4,yes,2,yes,48,1,128,five,4,127,683,2910,15,13,9,yes,yes,yes,2
1484,no,3,no,3,no,12,0.6,134,three,5,916,969,1457,14,4,20,yes,yes,no,1
799,yes,2.3,no,1,yes,63,0.8,144,,6,361,975,431,15,6,6,yes,yes,yes,0
1156,yes,1.2,yes,0,yes,50,0.8,159,two,0,322,547,470,7,0,15,yes,yes,no,0
1720,no,2,no,15,yes,55,0.5,168,two,18,753,1353,2148,14,2,5,yes,yes,yes,2
702,no,2.6,yes,2,yes,9,0.7,141,three,3,504,1570,2955,10,4,19,yes,no,no,2
616,no,1.9,yes,13,yes,44,0.8,81,three,17,651,1618,3366,18,8,13,yes,yes,no,3
1358,yes,0.5,no,11,yes,36,0.3,155,four,14,1565,1858,3068,9,4,4,yes,yes,no,3
1866,no,1.4,no,0,no,30,0.5,182,three,0,108,,3834,16,11,8,no,no,no,3
1242,no,1.1,yes,0,no,10,0.6,165,two,1,459,1225,1050,11,1,4,yes,no,yes,0
1166,no,1.5,yes,0,yes,43,0.8,80,four,1,205,603,3993,7,1,7,yes,yes,no,3
1448,yes,0.5,yes,6,yes,45,0.8,138,seven,11,570,1724,3378,13,11,2,yes,yes,yes,3
1407,yes,2.4,no,1,yes,22,0.7,104,four,4,1172,1217,2192,9,7,13,yes,no,yes,2
605,no,1,no,8,yes,9,0.1,142,three,16,160,1026,392,15,6,4,yes,no,no,0
1038,no,1.2,no,3,no,43,0.7,141,one,5,4,638,3709,11,0,12,yes,yes,yes,3
797,yes,2.9,yes,4,no,38,0.5,90,four,6,763,1413,590,9,2,6,no,yes,no,0
819,no,0.6,yes,8,yes,42,0.9,188,six,20,339,1242,1814,5,4,13,yes,no,yes,1
1114,no,2.8,no,4,yes,9,0.4,197,three,15,1040,1071,907,10,7,17,yes,yes,no,0
1234,yes,1.6,yes,1,no,33,0.6,172,one,3,166,778,1449,11,7,6,no,no,yes,0
1199,yes,2.5,yes,15,yes,16,0.2,116,four,20,1168,1552,3448,17,13,10,yes,no,yes,3
1103,no,1,yes,6,no,29,0.7,111,six,8,990,1486,1837,8,7,16,no,yes,yes,1
1589,yes,0.6,yes,0,yes,58,0.9,85,seven,7,319,1206,3464,19,10,6,yes,yes,yes,3
999,no,2.9,yes,11,yes,64,0.2,199,four,19,1397,1616,2593,14,11,16,yes,yes,no,2
1510,yes,0.9,yes,2,no,45,0.9,180,five,3,708,1752,3484,9,6,11,no,yes,yes,3
1008,no,0.8,no,11,no,61,1,114,three,15,1077,1122,2009,10,3,11,yes,no,no,1
1127,yes,2.9,yes,5,yes,57,0.8,163,one,13,928,1049,2048,11,5,17,yes,yes,yes,1
1412,yes,2.4,no,5,no,25,0.8,96,,17,516,1894,837,15,9,4,no,no,yes,1
1496,yes,2,yes,4,no,42,0.5,182,five,5,96,741,854,16,0,7,no,yes,yes,0
1083,yes,2.9,yes,1,yes,64,0.8,178,three,11,1025,1118,3210,13,3,4,yes,no,no,3
668,no,0.5,yes,0,no,3,0.1,155,five,13,666,1203,2746,9,5,8,yes,yes,yes,2
1309,no,1.1,yes,0,no,33,0.5,100,four,14,557,1402,2334,10,1,11,yes,no,yes,2
1724,no,2,yes,2,yes,57,0.5,177,three,5,1605,1924,2822,19,3,16,yes,yes,no,3
1977,yes,2,yes,7,yes,54,1,171,seven,18,1226,1242,1971,18,7,14,yes,yes,no,2
885,no,2.3,yes,0,yes,15,0.4,103,seven,0,769,802,1410,16,10,5,yes,yes,yes,0
879,yes,2.5,no,11,yes,14,0.7,83,six,15,403,1105,349,16,10,2,yes,no,yes,0
1322,no,1.7,yes,6,no,7,0.8,140,three,9,177,1990,1418,19,17,12,no,yes,no,1
1137,yes,1,no,18,no,7,1,196,three,19,942,1179,3616,13,5,12,yes,yes,yes,3
1355,no,2.3,no,10,yes,23,0.2,132,five,16,651,891,880,19,4,8,yes,yes,no,0
1665,yes,0.5,no,3,yes,60,0.2,194,six,18,1572,1684,1601,18,17,14,yes,no,no,2
657,no,2.5,no,0,no,37,0.7,141,two,1,476,961,1412,14,3,18,no,yes,no,0
593,no,0.5,no,6,no,31,0.4,156,seven,7,1233,1317,1692,6,2,7,yes,no,no,1
1883,yes,0.5,no,3,yes,10,0.3,146,six,13,836,1739,2600,16,8,20,yes,no,no,3
1732,yes,1.1,no,4,yes,12,0.8,119,,9,824,881,1308,16,7,11,yes,no,yes,1
543,no,0.5,no,0,no,57,0.7,192,five,4,391,984,2413,17,14,15,yes,no,no,1
1939,yes,2.8,yes,0,yes,55,0.6,199,four,10,320,520,1047,14,10,18,yes,yes,no,0
553,no,2.4,yes,1,yes,8,0.5,121,seven,3,325,902,1204,11,4,8,yes,yes,yes,0
832,no,0.7,yes,2,yes,39,0.7,103,four,3,125,1504,1799,5,2,11,yes,no,yes,1
1661,no,1.9,yes,5,no,23,1,172,five,10,846,1634,2676,12,6,11,no,yes,yes,3
1657,yes,2.4,no,3,no,42,0.1,198,five,16,1770,1796,2597,18,1,14,yes,no,no,3
1135,yes,2,yes,0,no,46,0.3,83,one,4,293,1846,3029,19,17,9,yes,yes,yes,3
1775,yes,1.5,no,3,no,41,0.1,163,one,7,1633,1869,2343,19,13,14,yes,yes,yes,3
783,no,1.8,yes,0,yes,43,1,106,three,4,1198,1471,2016,16,4,18,yes,yes,no,1
617,yes,2.3,no,0,no,32,0.5,199,seven,20,768,874,2213,18,13,7,no,no,no,1
867,no,1.4,yes,0,yes,4,0.7,135,six,1,70,1974,790,13,6,3,yes,yes,no,0
1310,yes,1.1,yes,13,no,7,1,194,five,14,117,513,3182,8,4,5,yes,yes,no,2
1804,no,0.5,no,9,yes,22,0.6,153,seven,19,1158,1244,3472,9,1,20,yes,no,yes,3
1900,yes,2.3,no,1,yes,18,0.2,89,seven,9,1055,1661,2871,12,1,13,yes,yes,yes,3
909,yes,1.4,no,0,no,53,0.3,82,,0,635,973,3187,12,9,4,yes,no,no,2
1084,yes,2.6,no,3,yes,40,0.9,107,three,11,322,771,1945,15,4,10,yes,yes,no,1
1308,no,1.3,yes,8,no,46,0.9,199,one,12,275,989,488,5,3,9,no,yes,no,0
1778,no,0.5,no,0,no,15,0.5,102,three,0,1445,1954,1214,5,0,14,yes,no,no,1
1701,yes,1.6,yes,3,no,10,0.3,194,,7,550,1338,2598,12,9,6,no,yes,no,2
772,yes,2.4,yes,1,yes,10,0.5,80,four,2,1242,1712,3242,18,11,4,yes,yes,no,3
825,yes,0.5,yes,7,no,52,0.9,130,three,10,597,863,3534,10,4,6,no,yes,no,3
1379,no,1.1,no,5,yes,36,0.8,200,two,7,538,1376,3426,5,4,17,yes,yes,yes,3
1166,no,2,no,3,yes,25,0.8,198,five,4,59,1203,2488,13,5,15,yes,no,no,2
1659,no,2.8,no,5,no,16,0.6,89,one,20,819,902,3255,19,14,9,no,no,yes,3
826,yes,2.4,yes,0,yes,58,0.3,88,four,1,179,786,2863,9,3,18,yes,no,yes,2
1564,no,2.3,no,4,yes,25,0.5,189,six,17,1259,1965,1496,6,4,7,yes,yes,yes,1
1957,no,0.9,yes,11,no,31,0.6,181,three,16,396,1732,3801,12,0,7,yes,no,yes,3
1571,no,1.4,no,0,yes,19,0.1,100,six,1,713,1398,666,12,10,13,yes,yes,no,0
1414,no,2,yes,2,no,54,0.8,99,seven,3,262,829,3799,17,7,7,yes,no,yes,3
1790,no,2.5,yes,9,no,2,0.1,184,one,14,622,792,1366,7,0,20,yes,yes,yes,1
645,no,0.5,no,1,no,41,1,197,seven,10,327,580,2962,12,9,4,yes,yes,yes,2
668,no,2.9,yes,7,no,30,0.2,195,,12,522,1056,2399,10,5,7,yes,yes,yes,1
1652,yes,1.1,yes,1,no,36,0.7,89,four,5,313,1264,2338,12,8,20,no,no,no,2
1213,yes,0.5,no,0,no,16,0.5,108,five,0,226,1248,2700,12,3,9,no,no,yes,2
1272,yes,2.5,yes,0,no,22,0.9,133,six,8,605,669,2235,19,4,4,yes,no,no,1
866,no,0.5,yes,5,yes,46,0.5,179,,7,692,1686,3825,12,11,2,yes,yes,yes,3
536,no,2.4,yes,12,yes,3,0.3,182,seven,14,1386,1539,284,12,9,4,yes,yes,no,0
523,no,2.6,yes,1,no,14,0.1,155,,2,304,1042,1427,9,1,9,no,yes,no,0
1753,no,0.5,yes,0,yes,31,0.1,134,one,18,1590,1926,1324,17,0,17,yes,no,yes,2
1218,no,1.8,yes,1,yes,14,0.5,147,three,4,229,616,398,17,0,5,yes,no,no,0
1537,yes,2.5,no,4,yes,43,0.3,137,one,5,839,1131,3685,18,17,17,yes,yes,yes,3
786,no,2.2,yes,0,no,33,0.5,141,seven,6,507,1697,2390,12,11,5,yes,no,yes,2
1678,no,2.1,no,3,yes,64,0.9,134,three,11,436,536,278,19,0,10,yes,yes,no,0
1814,no,1.4,yes,1,yes,9,0.4,141,two,2,756,786,3556,18,12,16,yes,no,no,3
1101,no,1.8,no,0,no,31,0.2,148,two,7,387,1269,2196,12,6,19,no,yes,yes,1
1461,no,2.4,yes,3,yes,40,0.5,141,seven,4,1265,1298,3799,16,1,4,yes,no,no,3
1216,no,3,no,4,no,47,0.4,199,three,7,1852,1967,2268,13,5,4,no,yes,yes,2
506,no,1.6,no,6,yes,41,0.8,159,one,7,875,1025,2965,13,10,15,yes,no,no,2
843,yes,0.5,no,1,yes,56,0.1,147,five,17,140,800,2341,10,1,20,yes,yes,yes,1
742,no,2.2,yes,4,no,56,0.2,190,seven,14,577,1359,3557,16,11,12,no,yes,yes,3
1692,yes,2.1,no,3,yes,61,0.9,176,six,12,975,1996,1354,16,7,19,yes,no,no,1
1485,no,1,no,2,yes,32,0.7,84,two,9,510,1013,2147,19,1,11,yes,yes,no,2
1547,no,2.9,yes,6,no,45,0.7,166,two,8,583,590,505,12,2,3,no,yes,yes,0
1692,no,2.3,yes,4,yes,46,0.9,139,one,6,674,1925,1394,16,10,6,yes,yes,no,1
637,no,2.3,no,3,yes,60,0.8,97,four,4,1125,1989,374,18,4,8,yes,no,yes,0
1224,no,0.5,no,16,yes,6,0.4,109,six,18,747,826,506,10,0,11,yes,yes,yes,0
1356,no,2.8,no,0,no,29,0.5,198,six,0,1612,1983,3702,17,0,19,no,no,no,3
1840,no,0.5,yes,12,no,34,0.7,142,one,16,311,1545,1078,8,0,10,no,no,no,1
1481,yes,0.7,yes,4,yes,37,0.6,96,five,13,116,1533,2945,10,5,16,yes,yes,yes,2
961,yes,1.5,yes,10,no,51,0.3,152,six,16,554,621,2981,15,6,7,yes,yes,yes,2
1296,no,0.9,yes,0,yes,14,0.5,124,five,3,811,1272,490,7,1,4,yes,yes,yes,0
1193,no,0.9,no,11,no,26,0.5,166,one,20,730,1729,536,17,14,4,yes,no,yes,0
1441,no,2.1,yes,11,yes,3,0.1,118,,17,577,1071,2317,16,4,7,yes,no,yes,2
517,no,1.4,yes,3,yes,33,0.8,183,four,8,660,974,3704,17,16,11,yes,no,yes,3
748,yes,1.7,no,0,yes,27,0.9,150,,4,450,1554,2126,18,9,7,yes,no,no,1
1126,yes,2.4,no,2,yes,10,0.4,160,six,3,1223,1611,2050,7,6,12,yes,yes,yes,2
1572,no,0.6,no,0,yes,58,0.2,157,seven,8,1109,1937,2462,12,8,10,yes,no,no,3
1569,no,2.8,yes,17,no,44,0.3,110,four,20,45,1942,1260,9,2,17,yes,no,no,1
1270,yes,0.6,yes,2,yes,32,0.5,101,seven,6,299,845,3770,5,3,13,yes,yes,no,3
1854,no,3,no,2,yes,8,0.1,101,five,5,506,627,1886,17,4,20,yes,yes,no,1
625,yes,1.2,yes,5,yes,10,0.2,183,four,8,635,842,3323,9,1,7,yes,yes,yes,2
1577,no,0.5,yes,0,yes,42,0.3,197,five,4,1045,1737,2060,19,6,12,yes,no,no,2
534,no,0.5,yes,0,yes,16,1,189,five,1,393,1199,3926,16,12,20,yes,no,no,3
946,no,1.7,yes,8,yes,25,0.8,143,six,15,650,1740,2177,7,5,13,yes,yes,yes,2
685,no,0.5,no,2,no,29,0.8,93,seven,10,433,648,728,14,8,4,no,no,yes,0
1949,no,1.3,yes,0,no,23,0.1,101,five,1,839,1136,2478,14,8,20,yes,no,no,3
947,no,0.8,yes,0,yes,22,0.1,197,two,13,1176,1220,2842,16,12,2,yes,no,no,2
801,yes,2.2,yes,2,no,63,0.4,165,seven,4,650,879,1617,17,4,19,no,no,yes,1
703,yes,2.7,no,12,yes,30,0.3,113,one,20,218,1065,1472,14,7,7,yes,no,no,0
1165,yes,2.4,no,11,no,41,0.2,178,six,12,564,831,764,19,12,15,yes,no,no,0
1082,no,0.8,no,0,no,38,0.1,198,,5,986,1191,2337,6,1,17,no,yes,yes,2
959,yes,2.6,yes,15,no,20,1,84,four,19,561,1631,3965,16,1,6,yes,no,no,3
1502,yes,1.2,no,0,no,54,0.2,138,five,12,65,588,3693,17,14,16,yes,yes,no,3
1380,yes,2.1,yes,1,yes,4,0.8,92,three,13,420,500,797,13,2,15,yes,yes,no,0
1266,no,0.5,no,0,yes,5,0.1,95,six,9,1365,1698,1687,11,0,18,yes,no,no,2
1934,yes,2.6,yes,0,yes,46,0.1,103,one,17,619,1299,2940,13,9,2,yes,yes,yes,3
1905,yes,0.5,no,3,yes,6,0.5,151,one,5,849,898,1545,9,5,10,yes,yes,no,1
1831,no,1.4,yes,2,no,43,0.9,150,five,5,611,1381,3834,17,7,13,yes,yes,yes,3
596,no,1.4,no,8,no,46,0.6,165,one,18,953,984,2505,15,4,15,yes,yes,no,1
1562,yes,1.3,yes,1,yes,7,0.2,190,five,15,642,1533,2243,12,10,6,yes,no,no,2
1490,yes,0.5,yes,4,yes,64,0.3,150,,8,1417,1464,3600,17,9,7,yes,yes,yes,3
1523,yes,2.4,no,5,yes,57,0.2,117,two,6,247,539,3971,18,12,10,yes,yes,yes,3
640,no,0.6,no,0,no,20,0.1,163,four,15,710,1179,2844,7,5,18,yes,yes,no,2
1526,no,2.1,no,1,yes,23,0.2,117,seven,8,718,751,2227,18,10,3,yes,yes,no,2
1989,no,2.5,yes,0,yes,41,0.8,94,three,13,1100,1497,1665,17,9,12,yes,yes,yes,2
1308,no,1.9,no,0,yes,61,0.7,106,three,7,59,1215,3355,15,2,4,yes,no,yes,3
609,no,0.5,no,3,no,26,0.3,93,four,4,938,1948,1866,11,10,14,yes,yes,yes,1
1905,no,0.6,yes,9,yes,36,0.4,119,three,20,825,1542,1287,13,4,16,yes,no,no,1
1703,yes,0.5,no,0,yes,22,0.6,192,one,0,286,1235,1046,5,4,13,yes,no,yes,0
1445,yes,2.4,yes,7,yes,20,0.4,173,seven,15,1273,1345,1441,7,4,13,yes,yes,yes,1
1087,no,1.3,no,0,yes,16,0.3,166,three,9,295,589,690,14,6,6,yes,no,yes,0
671,no,0.9,yes,10,no,30,0.7,105,seven,17,852,1182,2504,6,4,15,yes,no,no,2
1472,yes,2.3,no,6,no,61,0.1,168,six,19,710,1052,2677,19,15,8,yes,no,no,2
765,no,0.5,yes,0,yes,47,0.3,115,,1,1277,1429,2243,11,7,4,yes,no,yes,2
1642,no,0.5,yes,16,yes,8,0.3,171,six,17,129,873,2984,13,4,17,yes,no,yes,2
1265,no,1.5,no,7,no,49,0.7,182,five,16,690,836,1362,5,0,12,no,no,yes,1
664,yes,1.1,yes,1,yes,51,0.1,110,seven,4,701,1478,3629,19,15,6,yes,yes,yes,3
1277,yes,0.5,yes,0,yes,35,0.4,142,six,6,309,1460,3559,18,17,6,yes,yes,no,3
1395,no,1.8,yes,0,no,23,0.1,111,three,1,213,705,2571,11,0,13,yes,no,yes,2
1539,yes,2.6,no,0,no,41,0.1,159,,0,1112,1666,2107,15,9,10,yes,no,yes,2
1049,yes,2.2,no,9,no,63,0.5,135,five,17,199,1077,1022,11,3,13,no,no,no,0
1827,no,1.7,no,4,yes,39,0.5,128,five,16,55,1020,2844,14,9,10,yes,yes,no,2
903,no,1,yes,0,yes,50,0.4,91,one,0,1230,1235,711,9,5,10,yes,yes,no,0
1987,yes,0.5,no,3,yes,53,1,181,three,7,1052,1516,3117,18,5,8,yes,yes,yes,3
1154,no,1.2,yes,0,yes,49,0.2,181,,2,541,1499,978,5,3,7,yes,no,yes,0
1336,no,0.9,no,5,yes,17,0.2,194,five,9,55,583,1869,13,1,16,yes,yes,yes,1
1886,no,0.5,no,0,yes,24,0.4,112,three,1,809,1958,1179,16,7,20,yes,no,yes,1
1551,no,1.1,no,4,no,51,0.1,88,five,6,1738,1995,3844,11,8,4,no,yes,no,3
850,yes,1.6,yes,6,yes,29,0.5,133,five,19,404,642,593,19,17,10,yes,no,yes,0
660,no,0.5,no,5,yes,40,0.5,111,two,10,262,1178,588,6,5,18,yes,yes,yes,0
1225,yes,2.1,yes,8,no,13,0.5,116,four,12,759,1404,3836,12,11,11,no,no,no,3
1452,yes,0.5,yes,1,yes,25,0.9,123,six,11,42,1040,2669,12,10,13,yes,no,no,2
1686,yes,2.8,yes,3,no,38,0.1,166,four,4,397,1453,2958,14,11,2,no,no,no,3
1634,yes,1.4,no,1,yes,17,0.2,200,two,5,964,1677,3031,11,6,6,yes,yes,yes,3
1708,yes,2.4,yes,18,yes,49,0.1,109,one,19,233,517,3388,6,4,16,yes,yes,yes,3
1151,yes,2.9,yes,0,no,31,0.6,128,,1,1022,1560,2377,18,8,13,no,yes,no,2
